id,title,description,department,min_salary,max_salary,min_experience,required_skills,preferred_skills,is_active
1,Software Engineer,Role description for Software Engineer,Design,50000,120000,2,"['Python', 'JavaScript', 'SQL']","['React', 'Node.js', 'Docker']",True
2,Data Scientist,Role description for Data Scientist,Data Science,70000,150000,5,"['Python', 'SQL', 'Machine Learning', 'Statistics']","['Deep Learning', 'Tableau', 'AWS']",True
3,Product Manager,Role description for Product Manager,Operations,80000,160000,3,"['Project Management', 'Team Leadership', 'Communication']","['Agile', 'Strategic Planning']",True
4,DevOps Engineer,Role description for DevOps Engineer,Product,60000,130000,1,"['Python', 'JavaScript', 'SQL']","['React', 'Node.js', 'Docker']",True
5,UI/UX Designer,Role description for UI/UX Designer,Operations,45000,100000,1,"['UI Design', 'Figma', 'Prototyping']","['UX Research', 'User Testing']",True
6,QA Engineer,Role description for QA Engineer,Product,40000,90000,0,"['Python', 'JavaScript', 'SQL']","['React', 'Node.js', 'Docker']",True
7,Business Analyst,Role description for Business Analyst,Engineering,50000,110000,0,[],[],True
8,Technical Lead,Role description for Technical Lead,Product,90000,180000,4,[],[],True
9,System Administrator,Role description for System Administrator,Design,45000,95000,2,[],[],True
10,Frontend Developer,Role description for Frontend Developer,Data Science,45000,105000,2,"['Python', 'JavaScript', 'SQL']","['React', 'Node.js', 'Docker']",True
11,Backend Developer,Role description for Backend Developer,Design,55000,125000,4,"['Python', 'JavaScript', 'SQL']","['React', 'Node.js', 'Docker']",True
12,Machine Learning Engineer,Role description for Machine Learning Engineer,Engineering,80000,170000,5,"['Python', 'JavaScript', 'SQL']","['React', 'Node.js', 'Docker']",True
13,Cybersecurity Analyst,Role description for Cybersecurity Analyst,Design,65000,140000,5,[],[],True
14,Database Administrator,Role description for Database Administrator,Product,55000,115000,3,"['Python', 'SQL', 'Machine Learning', 'Statistics']","['Deep Learning', 'Tableau', 'AWS']",True
